城市,日期,白天天氣現象,白天降雨機率,白天最低溫度,白天舒適度,白天最高溫度,晚上天氣現象,晚上降雨機率,晚上最低溫度,晚上舒適度,晚上最高溫度
嘉義縣,2023-01-08,晴時多雲,0,16,稍有寒意至舒適,23,晴時多雲,10,17,稍有寒意,20
新北市,2023-01-08,晴時多雲,0,16,稍有寒意至舒適,22,多雲時晴,10,17,稍有寒意,19
嘉義市,2023-01-08,晴時多雲,0,16,稍有寒意至舒適,25,晴時多雲,10,17,稍有寒意至舒適,21
新竹縣,2023-01-08,晴時多雲,0,15,寒冷至舒適,24,多雲時晴,10,17,稍有寒意,19
新竹市,2023-01-08,晴時多雲,0,15,寒冷至舒適,23,多雲時晴,10,17,稍有寒意,19
臺北市,2023-01-08,晴時多雲,0,15,寒冷至舒適,21,多雲時晴,10,16,稍有寒意,19
臺南市,2023-01-08,晴時多雲,10,18,稍有寒意至舒適,22,晴時多雲,10,18,稍有寒意,20
宜蘭縣,2023-01-08,多雲時陰,20,15,寒冷至舒適,20,多雲,20,16,稍有寒意,18
苗栗縣,2023-01-08,晴時多雲,0,14,寒冷至舒適,22,晴時多雲,10,17,稍有寒意,19
雲林縣,2023-01-08,晴時多雲,0,15,寒冷至舒適,24,晴時多雲,10,17,稍有寒意,20
花蓮縣,2023-01-08,多雲時晴,20,16,稍有寒意至舒適,22,多雲短暫雨,30,17,稍有寒意,19
臺中市,2023-01-08,晴時多雲,0,17,稍有寒意至舒適,24,晴時多雲,10,18,稍有寒意至舒適,21
臺東縣,2023-01-08,陰時多雲,20,18,稍有寒意至舒適,23,陰時多雲,20,18,稍有寒意至舒適,20
桃園市,2023-01-08,晴時多雲,0,15,寒冷至舒適,23,多雲時晴,10,16,稍有寒意,19
南投縣,2023-01-08,晴時多雲,0,16,稍有寒意至舒適,24,晴時多雲,10,17,稍有寒意至舒適,21
高雄市,2023-01-08,晴時多雲,10,20,稍有寒意至舒適,24,晴時多雲,10,19,稍有寒意至舒適,22
金門縣,2023-01-08,多雲時晴,0,14,寒冷至稍有寒意,20,多雲時晴,20,15,寒冷至稍有寒意,17
屏東縣,2023-01-08,晴時多雲,10,19,稍有寒意至舒適,26,晴時多雲,10,18,稍有寒意至舒適,23
基隆市,2023-01-08,晴時多雲,10,16,稍有寒意,20,陰時多雲,10,17,稍有寒意,18
澎湖縣,2023-01-08,晴時多雲,0,17,稍有寒意,19,晴時多雲,20,17,稍有寒意,17
彰化縣,2023-01-08,晴時多雲,0,16,稍有寒意至舒適,22,晴時多雲,10,17,稍有寒意,19
連江縣,2023-01-08,晴時多雲,0,12,寒冷,14,陰時多雲短暫雨,30,12,寒冷,13
